variant,n_mixed_teams,disp_boys_OR,disp_p,HS_onlygirls_OR,HS_onlygirls_p
threshold 0.85,289,2.5546082269520713,4.0044469734062805e-14,0.2802755742813787,0.009687375601525123
threshold 0.90 (baseline),271,2.582843550924188,2.442483964165982e-13,0.17597522814221855,0.00183323381421435
threshold 0.95,236,2.590639326637917,1.5016979425258265e-11,0.0354143126355268,0.035690328662207955
drop unknown students,241,2.725506762981439,2.0266312622963147e-13,0.6174776974306831,0.1421088221411414
exclude 2023,130,2.439336523832915,1.0125567660818554e-7,0.17597522814221855,0.00183323381421435
exclude single-sex schools,271,2.582843550924188,2.442483964165982e-13,0.17597522814221855,0.00183323381421435
