model,n_teams,or,lower,upper,p,spec,sig
Head Scientist,298,0.17597522814221855,0.058997222258377655,0.524893880326857,0.00183323381421435,All teams,p < 0.05
Mechanics Lead,576,0.2624700653006654,0.07687920206407574,0.8960880619119597,0.03275025342502041,All teams,p < 0.05
STEM roles staffed,576,0.22770009944228425,0.10434455706149921,0.49688586301121634,2.0183501038171847e-4,All teams,p < 0.05
Head Scientist,291,0.18284316870986758,0.06163397795940161,0.5424219797379711,0.00219443849596365,+ school context,p < 0.05
Mechanics Lead,569,0.2860450015492667,0.08460852743000394,0.9670626046412467,0.044021063068033245,+ school context,p < 0.05
