model,contrast,odds.ratio,SE,z.ratio,p.value,p_holm,p_BH
head_scientist,only boys / only girls,5.682618005710589,3.1685027635693293,3.1159982161438906,0.005210777340529438,0.02605388670264719,0.01059461459547667
head_scientist,mixed / only girls,5.8182779785043985,3.3379857053173243,3.0695196637298614,0.0060739684181189135,0.02605388670264719,0.01059461459547667
mechanics_lead,only boys / only girls,3.8099582855457337,2.3868643247412717,2.135131706102725,0.08286139479839116,0.16572278959678233,0.0994336737580694
mechanics_lead,mixed / only girls,2.598882439363697,1.6532896543577902,1.5013367972935363,0.29026802642388283,0.29026802642388283,0.29026802642388283
stem_count,only boys / only girls,4.391741604194919,1.7484754314422006,3.7167085940430558,5.913429301248607e-4,0.0035480575807491643,0.0035480575807491643
stem_count,mixed / only girls,3.5890263893700936,1.5170947626109568,3.0231127407726675,0.007063076396984447,0.02605388670264719,0.01059461459547667
