model,n_teams,or,lower,upper,p
head_scientist (unadjusted),291,0.18267556212915614,0.06146752694234105,0.5428941533715176,0.0022193125220222663
head_scientist (+ school context),291,0.18284316870986758,0.06163397795940161,0.5424219797379711,0.00219443849596365
mechanics_lead (unadjusted),569,0.28094169251680257,0.08337035008872153,0.9467182818617332,0.04052693458613481
mechanics_lead (+ school context),569,0.2860450015492667,0.08460852743000394,0.9670626046412467,0.044021063068033245
