contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
mixed - only boys,0.3988471401049184,0.7400027849060666,Inf,-1.335497821928652,2.133192102138489,0.5389805933710732,0.852090006949542
only girls - only boys,-0.6316962912340298,0.7495227286960576,Inf,-2.3883531511249974,1.124960568656938,-0.8427980460752537,0.6763592127856253
only girls - mixed,-1.0305434313389483,0.7055320183292331,Inf,-2.6840992374809565,0.6230123748030598,-1.4606614647757208,0.31002059470451304
