team_id,n_stem,obs_girls,exp_girls
866,1,0,0.6
883,1,0,0.5
884,1,1,0.6666666666666666
885,2,1,1.6
890,1,0,0.2
893,1,0,0.2
899,1,1,0.4
905,2,1,1
913,1,0,0.6666666666666666
914,1,1,0.6666666666666666
915,2,0,0.5714285714285714
916,1,0,0.4
922,1,0,0.5
923,2,0,1.3333333333333333
926,2,1,0.6666666666666666
931,1,0,0.3333333333333333
932,2,0,0.6666666666666666
935,2,1,1.2
936,2,1,1
937,2,1,1
939,2,1,1.5
940,2,2,1
944,1,0,0.75
946,1,0,0.5
947,2,1,1.3333333333333333
958,2,2,1.6
960,2,1,1
961,2,1,0.6666666666666666
968,2,1,1.5
991,1,1,0.3333333333333333
993,1,1,0.8
1001,1,0,0.4
1003,2,0,0.6666666666666666
1006,2,0,1.3333333333333333
1010,2,0,0.8
1014,1,1,0.6
1015,1,0,0.4
1016,1,0,0.6
1017,1,0,0.25
1018,1,0,0.8
1019,1,0,0.4
1020,1,1,0.6666666666666666
1024,1,0,0.5
1028,2,0,0.3333333333333333
1029,2,1,1.2
