team_gender,prob,SE,df,asymp.LCL,asymp.UCL
only boys,0.9886145595406635,0.006292081016668039,Inf,0.9667001346982071,0.9961644644148767
mixed,0.9861034990235157,0.006907840676926515,Inf,0.96352993371238,0.9947805843449222
only girls,0.9518571928222654,0.02294576316325872,Inf,0.8810949635547749,0.9813968555332269
