contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
mixed - only boys,1.4125159297364551,0.9692112657364077,Inf,-0.8590250835713424,3.6840569430442525,1.457387031777044,0.31164389339689424
only girls - only boys,0.1088397816204556,0.8859095311566296,Inf,-1.967466907379448,2.185146470620359,0.12285654211029436,0.9917131824862438
only girls - mixed,-1.3036761481159995,0.8941361416829474,Inf,-3.3992635490428764,0.7919112528108772,-1.4580286908682765,0.31132540564383593
