quantity,p_negative,median
HS only-girls slope,0.7326666666666667,-0.04663878720086764
HS only girls - mixed,0.8303333333333334,-0.074136285043052
HS only girls - boys,0.734,-0.049360127806933274
ML only-girls slope (placebo),0.273,0.023711004329008297
