gender_adj,in_mixed,prob,SE,df,asymp.LCL,asymp.UCL
female,single-sex,0.25453965163623166,0.018443628361127593,Inf,0.22010512463988546,0.2923419591567743
male,single-sex,0.27541443863816994,0.014669719260623892,Inf,0.2476100780663394,0.3050750126409142
female,mixed,0.19370744075812849,0.01578460677339295,Inf,0.1646293812751796,0.2265287500329711
male,mixed,0.3876103179639656,0.02128889275528777,Inf,0.34679622962046464,0.43006526683037943
