team_gender,prob,SE,df,asymp.LCL,asymp.UCL
only boys,0.9933123139809543,0.006049884747127685,Inf,0.9614244233970312,0.9988715236342616
mixed,0.9902263201834185,0.007457020038005682,Inf,0.9572251332168927,0.9978246610085134
only girls,0.9749901826970402,0.019341209378204403,Inf,0.8917314934249191,0.9946097954824407
