team_gender,n,obs_prop,avg_prop,se,lower,upper
only boys,141,0.1865079365079365,0.05206084656084656,2.1290027398064985e-4,0.051643562023844486,0.05247813109784863
mixed,224,0.2962962962962963,0.7008306878306878,4.3033200386369264e-4,0.699987237103115,0.7016741385582607
only girls,97,0.1283068783068783,0.03952248677248677,1.7828472734981115e-4,0.03917304870688114,0.039871924838092404
boys + unknown,146,0.1931216931216931,0.1110542328042328,2.8002982583193685e-4,0.1105053743456022,0.11160309126286339
girls + unknown,147,0.19444444444444445,0.09324074074074074,2.5668723910246636e-4,0.0927376337520999,0.09374384772938157
only unknown,1,0.0013227513227513227,0.0032910052910052907,6.133354132521381e-5,0.0031707915500078718,0.0034112190320027096
