team_id,year,school_id,class_id,student_id,role,gender,gender_prob,gender_adj,team_coed,school_single_sex,school_icsea,sector,locale
6,2025,S083,S083_C01,1,head_scientist,female,0.98,female,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,3,mechanics_lead,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,3,mechanics_lead,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,3,mechanics_lead,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,5,narrative_designer,female,0.97,female,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,5,narrative_designer,female,0.97,female,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,5,narrative_designer,female,0.97,female,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,4,project_manager,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,5,project_manager,female,0.97,female,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,5,project_manager,female,0.97,female,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,1,team_captain,female,0.98,female,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,1,team_captain,female,0.98,female,NA,coed,1110,Non-government,Metropolitan
6,2025,S083,S083_C01,4,team_captain,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,4,art_lead,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,4,art_lead,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,4,art_lead,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,4,art_lead,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,1,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,1,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,1,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,1,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,5,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,5,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,5,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,5,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,3,head_scientist,male,0.6,unknown,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,4,head_scientist,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,4,head_scientist,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,4,head_scientist,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,1,mechanics_lead,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,3,mechanics_lead,male,0.6,unknown,NA,coed,1110,Non-government,Metropolitan
